siparis_no,tarih,musteri_id,sehir,kategori,urun_adi,adet,birim_fiyat,tutar,odeme_yontemi,durum
S10034,2026-01-08,M0243,Adana,Kitap,Roman,2,189,378,Kapıda Ödeme,Tamamlandı
S10034,2026-01-08,M0243,Adana,Kitap,Çocuk Kitabı,2,149,298,Kapıda Ödeme,Tamamlandı
S10035,2026-01-08,M0274,İstanbul,Elektronik,Bluetooth Hoparlör,1,1799,1799,Banka Kartı,Tamamlandı
S10036,2026-01-09,M0893,İstanbul,Giyim,Kazak,4,749,2996,Kredi Kartı,Tamamlandı
S10037,2026-01-09,M0657,Ankara,Giyim,Kot Pantolon,3,899,2697,Banka Kartı,Tamamlandı
S10037,2026-01-09,M0657,Ankara,Ev Yaşam,Tencere Seti,1,3299,3299,Banka Kartı,Tamamlandı
S10038,2026-01-09,M0354,Bursa,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S10038,2026-01-09,M0354,Bursa,Kozmetik,Parfüm,3,1599,4797,Kredi Kartı,Tamamlandı
S10039,2026-01-10,M0737,Konya,Giyim,Kazak,3,749,2247,Banka Kartı,Tamamlandı
S10040,2026-01-10,M0680,Adana,Giyim,Tişört,1,349,349,Banka Kartı,Tamamlandı
S10041,2026-01-10,M0131,İstanbul,Kozmetik,Parfüm,1,1599,1599,Banka Kartı,Tamamlandı
S10042,2026-01-10,M0854,İstanbul,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10043,2026-01-10,M0219,İzmir,Kozmetik,Şampuan,1,159,159,Havale/EFT,Tamamlandı
S10043,2026-01-10,M0219,İzmir,Kozmetik,Parfüm,3,1599,4797,Havale/EFT,Tamamlandı
S10043,2026-01-10,M0219,İzmir,Giyim,Kazak,1,749,749,Havale/EFT,Tamamlandı
S10044,2026-01-10,M0487,İzmir,Kitap,Kişisel Gelişim Kitabı,2,229,458,Havale/EFT,Tamamlandı
S10045,2026-01-10,M0410,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Banka Kartı,Tamamlandı
S10046,2026-01-10,M0181,Antalya,Ev Yaşam,Tencere Seti,1,3299,3299,Banka Kartı,Tamamlandı
S10047,2026-01-10,M0476,Bursa,Kitap,Çocuk Kitabı,1,149,149,Kapıda Ödeme,Tamamlandı
S10048,2026-01-11,M0562,Ankara,Ev Yaşam,Masa Lambası,2,649,1298,Kredi Kartı,Tamamlandı
S10048,2026-01-11,M0562,Ankara,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10049,2026-01-11,M0731,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10050,2026-01-11,M0724,İstanbul,Ev Yaşam,Kahve Makinesi,2,2199,4398,Kredi Kartı,Tamamlandı
S10051,2026-01-11,M0789,İzmir,Kozmetik,Nemlendirici Krem,1,399,399,Banka Kartı,Tamamlandı
S10051,2026-01-11,M0789,İzmir,Kozmetik,Güneş Kremi,3,459,1377,Banka Kartı,Tamamlandı
S10052,2026-01-12,M0766,Bursa,Ev Yaşam,Nevresim Takımı,1,1149,1149,Havale/EFT,Tamamlandı
S10052,2026-01-12,M0766,Bursa,Kozmetik,Güneş Kremi,2,459,918,Havale/EFT,Tamamlandı
S10053,2026-01-12,M0131,Trabzon,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10053,2026-01-12,M0131,Trabzon,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S10053,2026-01-12,M0131,Trabzon,Ev Yaşam,Nevresim Takımı,3,1149,3447,Kredi Kartı,Tamamlandı
S10054,2026-01-12,M0852,Ankara,Kozmetik,Parfüm,3,1599,4797,Havale/EFT,Tamamlandı
S10055,2026-01-12,M0071,Antalya,Kitap,Roman,1,189,189,Banka Kartı,Tamamlandı
S10055,2026-01-12,M0071,Antalya,Elektronik,Oyuncu Mouse,1,899,899,Banka Kartı,Tamamlandı
S10056,2026-01-12,M0717,İstanbul,Kitap,Çocuk Kitabı,2,149,298,Kredi Kartı,Tamamlandı
S10056,2026-01-12,M0717,İstanbul,Giyim,Tişört,3,349,1047,Kredi Kartı,Tamamlandı
S10057,2026-01-13,M0733,İstanbul,Giyim,Spor Ayakkabı,1,1899,1899,Banka Kartı,Tamamlandı
S10057,2026-01-13,M0733,İstanbul,Spor,Dambıl Seti,1,1249,1249,Banka Kartı,Tamamlandı
S10058,2026-01-13,M0546,Ankara,Giyim,Kazak,2,749,1498,Kredi Kartı,Tamamlandı
S10059,2026-01-13,M0371,İzmir,Ev Yaşam,Masa Lambası,4,649,2596,Havale/EFT,Tamamlandı
S10059,2026-01-13,M0371,İzmir,Spor,Dambıl Seti,1,1249,1249,Havale/EFT,Tamamlandı
S10060,2026-01-13,M0749,İzmir,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10061,2026-01-13,M0584,İzmir,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S10062,2026-01-13,M0349,İstanbul,Ev Yaşam,Termos,1,449,449,Banka Kartı,Tamamlandı
S10062,2026-01-13,M0349,İstanbul,Giyim,Tişört,1,349,349,Banka Kartı,Tamamlandı
S10063,2026-01-14,M0729,Ankara,Giyim,Spor Ayakkabı,1,1899,1899,Havale/EFT,Tamamlandı
S10064,2026-01-14,M0485,İzmir,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S10064,2026-01-14,M0485,İzmir,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S10064,2026-01-14,M0485,İzmir,Kitap,Çocuk Kitabı,1,149,149,Kredi Kartı,Tamamlandı
S10065,2026-01-14,M0284,Bursa,Giyim,Kot Pantolon,1,899,899,Kapıda Ödeme,Tamamlandı
S10066,2026-01-14,M0184,İstanbul,Elektronik,Kablosuz Kulaklık,1,1299,1299,Banka Kartı,Tamamlandı
S10067,2026-01-15,M0106,Adana,Ev Yaşam,Kahve Makinesi,1,2199,2199,Banka Kartı,Tamamlandı
S10068,2026-01-15,M0490,İstanbul,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10069,2026-01-15,M0312,İstanbul,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10070,2026-01-16,M0390,Ankara,Kitap,Roman,2,189,378,Kredi Kartı,Tamamlandı
S10070,2026-01-16,M0390,Ankara,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10071,2026-01-16,M0677,İstanbul,Elektronik,Akıllı Saat,2,3499,6998,Kredi Kartı,Tamamlandı
S10072,2026-01-16,M0034,İstanbul,Ev Yaşam,Masa Lambası,3,649,1947,Banka Kartı,Tamamlandı
S10072,2026-01-16,M0034,İstanbul,Kozmetik,Şampuan,3,159,477,Banka Kartı,Tamamlandı
S10073,2026-01-17,M0273,Antalya,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S10074,2026-01-17,M0128,Ankara,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10075,2026-01-17,M0443,Bursa,Giyim,Spor Ayakkabı,2,1899,3798,Banka Kartı,Tamamlandı
S10076,2026-01-17,M0022,Trabzon,Elektronik,Tablet,1,8999,8999,Banka Kartı,Tamamlandı
S10077,2026-01-18,M0285,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Banka Kartı,Tamamlandı
S10077,2026-01-18,M0285,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Banka Kartı,Tamamlandı
S10078,2026-01-18,M0296,Bursa,Elektronik,Kablosuz Kulaklık,1,1299,1299,Kredi Kartı,Tamamlandı
S10078,2026-01-18,M0296,Bursa,Kozmetik,Güneş Kremi,2,459,0,Kredi Kartı,İade
S10079,2026-01-18,M0891,İzmir,Giyim,Spor Ayakkabı,2,1899,3798,Kredi Kartı,Tamamlandı
S10080,2026-01-18,M0209,İstanbul,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kredi Kartı,Tamamlandı
S10081,2026-01-18,M0819,İstanbul,Ev Yaşam,Kahve Makinesi,4,2199,8796,Kredi Kartı,Tamamlandı
S10082,2026-01-18,M0473,Konya,Kitap,Roman,2,189,378,Banka Kartı,Tamamlandı
S10083,2026-01-19,M0468,İzmir,Ev Yaşam,Tencere Seti,2,3299,6598,Kredi Kartı,Tamamlandı
S10083,2026-01-19,M0468,İzmir,Spor,Yoga Matı,3,399,1197,Kredi Kartı,Tamamlandı
S10083,2026-01-19,M0468,İzmir,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S10084,2026-01-19,M0676,Ankara,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10085,2026-01-19,M0330,Adana,Giyim,Kazak,1,749,749,Kapıda Ödeme,Tamamlandı
S10086,2026-01-20,M0485,Bursa,Kozmetik,Güneş Kremi,4,459,1836,Havale/EFT,Tamamlandı
S10087,2026-01-20,M0038,İstanbul,Elektronik,Tablet,1,8999,8999,Kapıda Ödeme,Tamamlandı
S10088,2026-01-20,M0016,Bursa,Elektronik,Bluetooth Hoparlör,4,1799,7196,Kredi Kartı,Tamamlandı
S10088,2026-01-20,M0016,Bursa,Kozmetik,Şampuan,2,159,318,Kredi Kartı,Tamamlandı
S10089,2026-01-20,M0880,İzmir,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kapıda Ödeme,Tamamlandı
S10089,2026-01-20,M0880,İzmir,Giyim,Spor Ayakkabı,1,1899,1899,Kapıda Ödeme,Tamamlandı
S10090,2026-01-20,M0093,Ankara,Kitap,Kişisel Gelişim Kitabı,2,229,458,Kredi Kartı,Tamamlandı
S10090,2026-01-20,M0093,Ankara,Elektronik,Tablet,1,8999,8999,Kredi Kartı,Tamamlandı
S10091,2026-01-21,M0580,Bursa,Kozmetik,Nemlendirici Krem,2,399,798,Kredi Kartı,Tamamlandı
S10092,2026-01-21,M0598,İstanbul,Giyim,Kot Pantolon,2,899,1798,Kredi Kartı,Tamamlandı
S10093,2026-01-21,M0694,İzmir,Kitap,Roman,4,189,756,Kredi Kartı,Tamamlandı
S10093,2026-01-21,M0694,İzmir,Ev Yaşam,Nevresim Takımı,4,1149,4596,Kredi Kartı,Tamamlandı
S10093,2026-01-21,M0694,İzmir,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10094,2026-01-21,M0717,İstanbul,Giyim,Tişört,2,349,698,Kapıda Ödeme,Tamamlandı
S10094,2026-01-21,M0717,İstanbul,Elektronik,Oyuncu Mouse,1,899,899,Kapıda Ödeme,Tamamlandı
S10095,2026-01-21,M0294,Antalya,Giyim,Kot Pantolon,1,899,899,Kredi Kartı,Tamamlandı
S10095,2026-01-21,M0294,Antalya,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10096,2026-01-21,M0643,İzmir,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10097,2026-01-22,M0766,Ankara,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kredi Kartı,Tamamlandı
S10097,2026-01-22,M0766,Ankara,Elektronik,Oyuncu Kulaklığı,3,1899,5697,Kredi Kartı,Tamamlandı
S10098,2026-01-22,M0303,Bursa,Kitap,Roman,4,189,756,Kredi Kartı,Tamamlandı
S10099,2026-01-22,M0742,Bursa,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10099,2026-01-22,M0742,Bursa,Elektronik,Akıllı Saat,2,3499,6998,Kredi Kartı,Tamamlandı
S10100,2026-01-22,M0391,Antalya,Giyim,Kot Pantolon,3,899,2697,Kapıda Ödeme,Tamamlandı
S10101,2026-01-22,M0625,İstanbul,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10101,2026-01-22,M0625,İstanbul,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10102,2026-01-22,M0551,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10102,2026-01-22,M0551,İstanbul,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10103,2026-01-23,M0034,Bursa,Giyim,Mont,4,2299,9196,Kredi Kartı,Tamamlandı
S10104,2026-01-23,M0661,Ankara,Elektronik,Tablet,1,8999,8999,Kredi Kartı,Tamamlandı
S10105,2026-01-24,M0658,İzmir,Giyim,Kazak,2,749,1498,Kapıda Ödeme,Tamamlandı
S10106,2026-01-24,M0850,Antalya,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10107,2026-01-24,M0003,İstanbul,Ev Yaşam,Masa Lambası,1,649,649,Kapıda Ödeme,Tamamlandı
S10107,2026-01-24,M0003,İstanbul,Elektronik,Akıllı Saat,2,3499,6998,Kapıda Ödeme,Tamamlandı
S10107,2026-01-24,M0003,İstanbul,Elektronik,Mekanik Klavye,1,2499,2499,Kapıda Ödeme,Tamamlandı
S10108,2026-01-24,M0117,Bursa,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10108,2026-01-24,M0117,Bursa,Elektronik,Tablet,2,8999,17998,Kredi Kartı,Tamamlandı
S10109,2026-01-24,M0470,İzmir,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S10109,2026-01-24,M0470,İzmir,Ev Yaşam,Tencere Seti,1,3299,3299,Kredi Kartı,Tamamlandı
S10109,2026-01-24,M0470,İzmir,Elektronik,Oyuncu Mouse,1,899,899,Kredi Kartı,Tamamlandı
S10110,2026-01-24,M0391,Trabzon,Ev Yaşam,Kahve Makinesi,2,2199,4398,Kredi Kartı,Tamamlandı
S10111,2026-01-24,M0667,Adana,Giyim,Kazak,1,749,749,Banka Kartı,Tamamlandı
S10111,2026-01-24,M0667,Adana,Giyim,Spor Ayakkabı,1,1899,1899,Banka Kartı,Tamamlandı
S10112,2026-01-24,M0262,Ankara,Elektronik,Tablet,1,8999,8999,Kredi Kartı,Tamamlandı
S10112,2026-01-24,M0262,Ankara,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10112,2026-01-24,M0262,Ankara,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S10113,2026-01-24,M0682,Konya,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10113,2026-01-24,M0682,Konya,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10113,2026-01-24,M0682,Konya,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10114,2026-01-25,M0575,Trabzon,Kozmetik,Parfüm,3,1599,4797,Havale/EFT,Tamamlandı
S10114,2026-01-25,M0575,Trabzon,Giyim,Kot Pantolon,2,899,1798,Havale/EFT,Tamamlandı
S10115,2026-01-25,M0348,Ankara,Kozmetik,Parfüm,2,1599,3198,Kredi Kartı,Tamamlandı
S10116,2026-01-25,M0094,Bursa,Giyim,Mont,2,2299,4598,Kredi Kartı,Tamamlandı
S10117,2026-01-25,M0582,İzmir,Kozmetik,Parfüm,1,1599,1599,Havale/EFT,Tamamlandı
S10118,2026-01-25,M0435,Ankara,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S10119,2026-01-25,M0695,İzmir,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S10120,2026-01-25,M0217,Antalya,Elektronik,Bluetooth Hoparlör,1,1799,1799,Havale/EFT,Tamamlandı
S10121,2026-01-26,M0546,Bursa,Spor,Yoga Matı,2,399,798,Kredi Kartı,Tamamlandı
S10121,2026-01-26,M0546,Bursa,Elektronik,Oyuncu Kulaklığı,2,1899,3798,Kredi Kartı,Tamamlandı
S10122,2026-01-26,M0588,Ankara,Giyim,Kazak,1,749,749,Banka Kartı,Tamamlandı
S10123,2026-01-26,M0472,Antalya,Spor,Yoga Matı,1,399,399,Kapıda Ödeme,Tamamlandı
S10124,2026-01-26,M0406,Adana,Kozmetik,Parfüm,2,1599,3198,Banka Kartı,Tamamlandı
S10125,2026-01-26,M0199,Adana,Spor,Dambıl Seti,1,1249,1249,Kredi Kartı,Tamamlandı
S10125,2026-01-26,M0199,Adana,Elektronik,Oyuncu Mouse,2,899,1798,Kredi Kartı,Tamamlandı
S10126,2026-01-26,M0182,Konya,Ev Yaşam,Termos,2,449,898,Banka Kartı,Tamamlandı
S10127,2026-01-27,M0331,Adana,Elektronik,Bluetooth Hoparlör,1,1799,1799,Banka Kartı,Tamamlandı
S10128,2026-01-27,M0058,Ankara,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10129,2026-01-28,M0876,İstanbul,Ev Yaşam,Tencere Seti,2,3299,6598,Banka Kartı,Tamamlandı
S10130,2026-01-29,M0193,İstanbul,Elektronik,Kablosuz Kulaklık,3,1299,3897,Kredi Kartı,Tamamlandı
S10131,2026-01-29,M0732,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Banka Kartı,Tamamlandı
S10132,2026-01-29,M0373,Ankara,Giyim,Tişört,2,349,698,Kredi Kartı,Tamamlandı
S10133,2026-01-29,M0068,İstanbul,Giyim,Kazak,4,749,2996,Banka Kartı,Tamamlandı
S10134,2026-01-29,M0154,Ankara,Giyim,Kazak,2,749,1498,Banka Kartı,Tamamlandı
S10135,2026-01-29,M0610,Bursa,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10136,2026-01-30,M0757,Trabzon,Kozmetik,Şampuan,1,159,159,Kapıda Ödeme,Tamamlandı
S10137,2026-01-30,M0220,Ankara,Kitap,Roman,1,189,189,Havale/EFT,Tamamlandı
S10138,2026-01-30,M0520,Antalya,Elektronik,Akıllı Saat,2,3499,6998,Havale/EFT,Tamamlandı
S10138,2026-01-30,M0520,Antalya,Giyim,Kot Pantolon,2,899,1798,Havale/EFT,Tamamlandı
S10139,2026-01-30,M0829,Adana,Giyim,Spor Ayakkabı,4,1899,7596,Banka Kartı,Tamamlandı
S10140,2026-01-31,M0240,İzmir,Ev Yaşam,Tencere Seti,1,3299,3299,Kredi Kartı,Tamamlandı
S10140,2026-01-31,M0240,İzmir,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kredi Kartı,Tamamlandı
S10141,2026-01-31,M0541,Ankara,Ev Yaşam,Tencere Seti,1,3299,3299,Kredi Kartı,Tamamlandı
S10142,2026-01-31,M0381,İzmir,Spor,Yoga Matı,2,399,798,Kredi Kartı,Tamamlandı
S10142,2026-01-31,M0381,İzmir,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10143,2026-01-31,M0228,Antalya,Giyim,Mont,1,2299,2299,Havale/EFT,Tamamlandı
S10143,2026-01-31,M0228,Antalya,Elektronik,Mekanik Klavye,1,2499,2499,Havale/EFT,Tamamlandı
S10143,2026-01-31,M0228,Antalya,Kozmetik,Nemlendirici Krem,1,399,399,Havale/EFT,Tamamlandı
S10144,2026-01-31,M0850,Ankara,Ev Yaşam,Masa Lambası,3,649,0,Havale/EFT,İade
S10144,2026-01-31,M0850,Ankara,Elektronik,Mekanik Klavye,3,2499,7497,Havale/EFT,Tamamlandı
S10145,2026-01-31,M0434,İstanbul,Elektronik,Akıllı Saat,2,3499,6998,Kredi Kartı,Tamamlandı
S10146,2026-01-31,M0114,Antalya,Kozmetik,Şampuan,2,159,318,Kredi Kartı,Tamamlandı
S10147,2026-02-01,M0002,İzmir,Kozmetik,Parfüm,4,1599,6396,Kredi Kartı,Tamamlandı
S10148,2026-02-01,M0539,İzmir,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Havale/EFT,Tamamlandı
S10149,2026-02-01,M0383,İstanbul,Giyim,Spor Ayakkabı,2,1899,3798,Kredi Kartı,Tamamlandı
S10149,2026-02-01,M0383,İstanbul,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10150,2026-02-01,M0834,İzmir,Kitap,Kişisel Gelişim Kitabı,1,229,229,Havale/EFT,Tamamlandı
S10150,2026-02-01,M0834,İzmir,Kozmetik,Güneş Kremi,1,459,459,Havale/EFT,Tamamlandı
S10151,2026-02-02,M0324,Konya,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kredi Kartı,Tamamlandı
S10151,2026-02-02,M0324,Konya,Giyim,Spor Ayakkabı,2,1899,3798,Kredi Kartı,Tamamlandı
S10151,2026-02-02,M0324,Konya,Elektronik,Akıllı Saat,3,3499,10497,Kredi Kartı,Tamamlandı
S10152,2026-02-02,M0396,Ankara,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S10152,2026-02-02,M0396,Ankara,Giyim,Tişört,4,349,1396,Kredi Kartı,Tamamlandı
S10153,2026-02-02,M0301,İstanbul,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S10153,2026-02-02,M0301,İstanbul,Giyim,Kot Pantolon,3,899,2697,Kredi Kartı,Tamamlandı
S10154,2026-02-02,M0446,İstanbul,Elektronik,Oyuncu Mouse,1,899,899,Kapıda Ödeme,Tamamlandı
S10154,2026-02-02,M0446,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Kapıda Ödeme,Tamamlandı
S10154,2026-02-02,M0446,İstanbul,Kozmetik,Parfüm,1,1599,1599,Kapıda Ödeme,Tamamlandı
S10155,2026-02-02,M0376,Ankara,Elektronik,Bluetooth Hoparlör,1,1799,1799,Kapıda Ödeme,Tamamlandı
S10156,2026-02-02,M0079,İzmir,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S10157,2026-02-03,M0512,İzmir,Kozmetik,Şampuan,1,159,159,Kapıda Ödeme,Tamamlandı
S10158,2026-02-03,M0711,Konya,Spor,Yoga Matı,3,399,1197,Kredi Kartı,Tamamlandı
S10159,2026-02-04,M0866,Trabzon,Ev Yaşam,Nevresim Takımı,1,1149,1149,Banka Kartı,Tamamlandı
S10159,2026-02-04,M0866,Trabzon,Kozmetik,Şampuan,1,159,159,Banka Kartı,Tamamlandı
